"n_items","n_participants","prevalence","method","seed","accuracy","precision","recall","f1"
60,150,"equal","bf_ps","1234",0.865771812080537,0.894030711699885,0.871804871373837,0.86413587500544
60,150,"equal","psis","1234",0.546666666666667,0.693417255978832,0.573485719261581,0.522961793345998
60,150,"equal","waic","1234",0.526666666666667,0.696232783305303,0.555776484052346,0.48991637174211
60,150,"equal","hbi","1234",0.773333333333333,0.779509734928454,0.754166044683286,0.727360218615802
60,150,"extreme","bf_ps","1234",0.926666666666667,0.876180124223602,0.812715855572998,0.823997414049734
60,150,"extreme","psis","1234",0.72,0.722200935710252,0.569739784025498,0.534480469696416
60,150,"extreme","waic","1234",0.733333333333333,0.682407942934259,0.53381142666857,0.499070646736152
60,150,"extreme","hbi","1234",0.906666666666667,0.880178571428571,0.776190476190476,0.786381477155659
120,150,"equal","bf_ps","1234",0.86,0.926708074534161,0.869737750172533,0.870650713377654
120,150,"equal","psis","1234",0.533333333333333,0.733962038969841,0.526496852583809,0.5017294934168
120,150,"equal","waic","1234",0.56,0.739540396710208,0.556277056277056,0.549443219568995
120,150,"equal","hbi","1234",0.786666666666667,0.869767441860465,0.807022084195997,0.783094992382918
120,150,"extreme","bf_ps","1234",0.933333333333333,0.917566643882433,0.811904761904762,0.831131017000102
120,150,"extreme","psis","1234",0.733333333333333,0.710309443642777,0.48944099378882,0.629444686548429
120,150,"extreme","waic","1234",0.72,0.505739407651172,0.429089026915114,0.649217886879901
120,150,"extreme","hbi","1234",0.9,0.904864976293548,0.766666666666667,0.784311436233285
60,300,"equal","bf_ps","1234",0.88,0.913565426170468,0.868651471912341,0.874582724672248
60,300,"equal","psis","1234",0.56,0.720419873635073,0.575116461871577,0.528858628335261
60,300,"equal","waic","1234",0.536666666666667,0.713155773019113,0.550073165843626,0.494813197740005
60,300,"equal","hbi","1234",0.77,0.694580387875267,0.752058311466879,0.837991229835274
60,300,"extreme","bf_ps","1234",0.923333333333333,0.913946492575525,0.825128839414554,0.849070074457454
60,300,"extreme","psis","1234",0.723333333333333,0.672529269696678,0.514662834830902,0.54930068645891
60,300,"extreme","waic","1234",0.713333333333333,0.658138599725295,0.489868523166842,0.512135399050785
