n_participant,n_items,prevalence_type,seed,total_runtime,no_of_cores,name
150,60,equal,1234,732.1622841358185,6,Apple M1
150,60,extreme,1234,849.5801458358765,6,Apple M1
150,120,equal,1234,930.5215208530426,6,Apple M1
150,120,extreme,1234,1068.8430228233335,6,Apple M1
300,60,equal,1234,1505.6019098758698,6,Apple M1
150,60,equal,1235,1806.5604560375216,6,Apple M1
150,60,extreme,1235,2146.303980112076,6,Apple M1
150,120,equal,1235,2186.530156850815,6,Apple M1
300,120,equal,1234,5699.126053094864,6,Apple M1
150,120,extreme,1235,3922.774845123291,6,Apple M1
300,120,extreme,1234,5962.304834842682,6,Apple M1
300,60,extreme,1234,6003.77378320694,6,Apple M1
300,60,equal,1235,4254.419073820114,6,Apple M1
150,60,equal,1236,570.9474220275879,6,Apple M1
300,60,extreme,1235,4442.628359079361,6,Apple M1
150,60,extreme,1236,749.6238889694214,6,Apple M1
150,120,equal,1236,758.488970041275,6,Apple M1
150,120,extreme,1236,913.6337969303132,6,Apple M1
300,120,equal,1235,1804.7283022403717,6,Apple M1
300,120,extreme,1235,2048.2960228919983,6,Apple M1
150,60,equal,1237,669.5416498184204,6,Apple M1
300,60,equal,1236,1848.997582197189,6,Apple M1
300,60,extreme,1236,1887.8420820236208,6,Apple M1
150,60,extreme,1237,923.3860187530518,6,Apple M1
150,120,extreme,1237,454.5122821331024,6,Apple M1
150,120,equal,1237,1000.6683478355408,6,Apple M1
300,120,equal,1236,2090.132292985916,6,Apple M1
300,120,extreme,1236,2171.480126142502,6,Apple M1
150,60,equal,1238,793.84001994133,6,Apple M1
300,60,equal,1237,1713.2628672122955,6,Apple M1
300,60,extreme,1237,1742.862097978592,6,Apple M1
150,60,extreme,1238,954.0808823108672,6,Apple M1
300,120,extreme,1237,1675.7920289039612,6,Apple M1
300,120,equal,1237,2036.0989780426023,6,Apple M1
150,120,equal,1238,1029.6509339809418,6,Apple M1
150,120,extreme,1238,1125.431666135788,6,Apple M1
