"n_participant","n_items","prevalence_type","seed","total_runtime","no_of_cores","name"
150,60,"equal",1234,1092.75587749481,16,"AMD EPYC 9B45"
150,60,"equal",1235,1072.05562257767,16,"AMD EPYC 9B45"
150,60,"equal",1236,1064.4875535965,16,"AMD EPYC 9B45"
150,60,"equal",1237,1074.82464003563,16,"AMD EPYC 9B45"
150,60,"equal",1238,1084.12022066116,16,"AMD EPYC 9B45"
150,60,"equal",1239,1075.95780038834,16,"AMD EPYC 9B45"
150,60,"equal",1240,1107.10546755791,16,"AMD EPYC 9B45"
150,60,"equal",1241,1134.63031578064,16,"AMD EPYC 9B45"
150,60,"equal",1242,1095.07473564148,16,"AMD EPYC 9B45"
150,60,"equal",1243,1137.43062496185,16,"AMD EPYC 9B45"
150,60,"equal",1244,1116.33589196205,16,"AMD EPYC 9B45"
150,60,"equal",1245,1117.4106156826,16,"AMD EPYC 9B45"
150,60,"equal",1246,1109.05642271042,16,"AMD EPYC 9B45"
150,60,"equal",1247,1098.7842092514,16,"AMD EPYC 9B45"
150,60,"equal",1248,1093.78416061401,16,"AMD EPYC 9B45"
150,60,"equal",1249,1095.58437252045,16,"AMD EPYC 9B45"
150,60,"equal",1250,1089.74217629433,16,"AMD EPYC 9B45"
150,60,"equal",1251,1130.50454044342,16,"AMD EPYC 9B45"
150,60,"equal",1252,1118.05571007729,16,"AMD EPYC 9B45"
150,60,"equal",1253,1136.7125415802,16,"AMD EPYC 9B45"
150,60,"equal",1254,1128.28838038445,16,"AMD EPYC 9B45"
150,60,"equal",1255,1130.12602043152,16,"AMD EPYC 9B45"
150,60,"equal",1256,1167.17930817604,16,"AMD EPYC 9B45"
150,60,"equal",1257,1126.25928735733,16,"AMD EPYC 9B45"
150,60,"equal",1258,1127.78293681145,16,"AMD EPYC 9B45"
150,60,"equal",1259,1132.54384374619,16,"AMD EPYC 9B45"
150,60,"equal",1260,1129.44380354881,16,"AMD EPYC 9B45"
150,60,"equal",1261,1146.13903284073,16,"AMD EPYC 9B45"
150,60,"equal",1262,1115.80720043182,16,"AMD EPYC 9B45"
150,60,"equal",1263,1120.45801472664,16,"AMD EPYC 9B45"
150,60,"equal",1264,1125.20727682114,16,"AMD EPYC 9B45"
150,60,"equal",1265,1127.60747361183,16,"AMD EPYC 9B45"
150,60,"equal",1266,1122.556183815,16,"AMD EPYC 9B45"
150,60,"equal",1267,1269.79706192017,16,"AMD EPYC 9B45"
150,60,"equal",1268,1275.57466578484,16,"AMD EPYC 9B45"
150,60,"equal",1269,1138.88737344742,16,"AMD EPYC 9B45"
150,60,"equal",1270,1174.30717039108,16,"AMD EPYC 9B45"
150,60,"equal",1271,1116.6111471653,16,"AMD EPYC 9B45"
150,60,"equal",1272,1084.66324710846,16,"AMD EPYC 9B45"
150,60,"equal",1273,1085.42945981026,16,"AMD EPYC 9B45"
150,60,"equal",1274,1098.01752257347,16,"AMD EPYC 9B45"
150,60,"equal",1275,1096.24203586578,16,"AMD EPYC 9B45"
150,60,"equal",1276,1102.2276134491,16,"AMD EPYC 9B45"
150,60,"equal",1277,1093.80121636391,16,"AMD EPYC 9B45"
150,60,"equal",1278,1099.10048294067,16,"AMD EPYC 9B45"
150,60,"equal",1279,1107.09679889679,16,"AMD EPYC 9B45"
150,60,"equal",1280,1085.77717542648,16,"AMD EPYC 9B45"
150,60,"equal",1281,1091.35023570061,16,"AMD EPYC 9B45"
150,60,"equal",1282,1084.02318811417,16,"AMD EPYC 9B45"
150,60,"equal",1283,1056.85232138634,16,"AMD EPYC 9B45"
300,60,"equal",1234,2198.32826280594,16,"AMD EPYC 9B45"
300,60,"equal",1235,2225.80080223083,16,"AMD EPYC 9B45"
300,60,"equal",1236,2225.74754190445,16,"AMD EPYC 9B45"
