n_participant,n_items,prevalence_type,seed,total_runtime,no_of_cores,name
150.0,60.0,equal,1234,517.8707568645477,1,AMD EPYC 9B45
150.0,60.0,extreme,1234,372.37292289733887,1,AMD EPYC 9B45
150.0,120.0,equal,1234,630.7015821933746,1,AMD EPYC 9B45
150.0,120.0,extreme,1234,754.5424244403839,1,AMD EPYC 9B45
300.0,60.0,equal,1234,890.9011328220367,1,AMD EPYC 9B45
300.0,60.0,extreme,1234,1451.542546749115,1,AMD EPYC 9B45
300.0,120.0,equal,1234,1197.0875647068024,1,AMD EPYC 9B45
300.0,120.0,extreme,1234,1439.137195110321,1,AMD EPYC 9B45
150.0,60.0,equal,1235,352.53089022636414,1,AMD EPYC 9B45
150.0,60.0,extreme,1235,553.0036795139313,1,AMD EPYC 9B45
150.0,120.0,equal,1235,607.374523639679,1,AMD EPYC 9B45
150.0,120.0,extreme,1235,694.9294974803925,1,AMD EPYC 9B45
300.0,60.0,equal,1235,1106.1889674663544,1,AMD EPYC 9B45
300.0,60.0,extreme,1235,1272.0049786567688,1,AMD EPYC 9B45
300.0,120.0,equal,1235,1283.5396358966827,1,AMD EPYC 9B45
300.0,120.0,extreme,1235,1475.158105134964,1,AMD EPYC 9B45
150.0,60.0,equal,1236,264.28679060935974,1,AMD EPYC 9B45
150.0,60.0,extreme,1236,533.4731483459473,1,AMD EPYC 9B45
150.0,120.0,equal,1236,501.90284967422485,1,AMD EPYC 9B45
150.0,120.0,extreme,1236,580.967134475708,1,AMD EPYC 9B45
300.0,60.0,equal,1236,1197.519287109375,1,AMD EPYC 9B45
300.0,60.0,extreme,1236,787.6056132316589,1,AMD EPYC 9B45
300.0,120.0,equal,1236,1267.0139603614807,1,AMD EPYC 9B45
300.0,120.0,extreme,1236,1345.6830439567566,1,AMD EPYC 9B45
150.0,60.0,equal,1237,368.78888058662415,1,AMD EPYC 9B45
150.0,60.0,extreme,1237,373.0182843208313,1,AMD EPYC 9B45
150.0,120.0,equal,1237,676.9607064723969,1,AMD EPYC 9B45
150.0,120.0,extreme,1237,283.27214312553406,1,AMD EPYC 9B45
300.0,60.0,equal,1237,1080.1815972328186,1,AMD EPYC 9B45
300.0,60.0,extreme,1237,611.4436404705048,1,AMD EPYC 9B45
300.0,120.0,equal,1237,1160.4775896072388,1,AMD EPYC 9B45
300.0,120.0,extreme,1237,1450.0832047462463,1,AMD EPYC 9B45
150.0,60.0,equal,1238,539.8814735412598,1,AMD EPYC 9B45
150.0,60.0,extreme,1238,362.339884519577,1,AMD EPYC 9B45
150.0,120.0,equal,1238,607.7680790424347,1,AMD EPYC 9B45
150.0,120.0,extreme,1238,675.6679441928864,1,AMD EPYC 9B45
300.0,60.0,equal,1238,1182.2577803134918,1,AMD EPYC 9B45
300.0,60.0,extreme,1238,1487.439406633377,1,AMD EPYC 9B45
300.0,120.0,equal,1238,1229.1479196548462,1,AMD EPYC 9B45
300.0,120.0,extreme,1238,1415.233324289322,1,AMD EPYC 9B45
150.0,60.0,equal,1239,519.4613506793976,1,AMD EPYC 9B45
150.0,60.0,extreme,1239,478.64556980133057,1,AMD EPYC 9B45
150.0,120.0,equal,1239,730.5009291172028,1,AMD EPYC 9B45
150.0,120.0,extreme,1239,847.5534689426422,1,AMD EPYC 9B45
300.0,60.0,equal,1239,1016.7187790870668,1,AMD EPYC 9B45
300.0,60.0,extreme,1239,757.9455325603485,1,AMD EPYC 9B45
300.0,120.0,equal,1239,1199.0085663795471,1,AMD EPYC 9B45
300.0,120.0,extreme,1239,1448.48414850235,1,AMD EPYC 9B45
150.0,60.0,equal,1240,549.4828650951385,1,AMD EPYC 9B45
150.0,60.0,extreme,1240,607.2440755367279,1,AMD EPYC 9B45
150.0,120.0,equal,1240,419.74713015556335,1,AMD EPYC 9B45
150.0,120.0,extreme,1240,655.8575158119202,1,AMD EPYC 9B45
300.0,60.0,equal,1240,1196.0726296901703,1,AMD EPYC 9B45
300.0,60.0,extreme,1240,885.1635694503784,1,AMD EPYC 9B45
300.0,120.0,equal,1240,1551.4235320091248,1,AMD EPYC 9B45
300.0,120.0,extreme,1240,1395.5054383277893,1,AMD EPYC 9B45
150.0,60.0,equal,1241,531.6860916614532,1,AMD EPYC 9B45
150.0,60.0,extreme,1241,566.1020350456238,1,AMD EPYC 9B45
150.0,120.0,equal,1241,588.8930261135101,1,AMD EPYC 9B45
150.0,120.0,extreme,1241,710.5396728515625,1,AMD EPYC 9B45
300.0,60.0,equal,1241,1323.1992001533508,1,AMD EPYC 9B45
300.0,60.0,extreme,1241,875.5656044483185,1,AMD EPYC 9B45
300.0,120.0,equal,1241,1325.218833446503,1,AMD EPYC 9B45
300.0,120.0,extreme,1241,1602.92329120636,1,AMD EPYC 9B45
150.0,60.0,equal,1242,316.3172256946564,1,AMD EPYC 9B45
150.0,60.0,extreme,1242,545.4688041210175,1,AMD EPYC 9B45
150.0,120.0,equal,1242,605.966831445694,1,AMD EPYC 9B45
150.0,120.0,extreme,1242,664.4031929969788,1,AMD EPYC 9B45
300.0,60.0,equal,1242,1030.933585882187,1,AMD EPYC 9B45
300.0,60.0,extreme,1242,1175.9247357845306,1,AMD EPYC 9B45
300.0,120.0,equal,1242,1236.6696045398712,1,AMD EPYC 9B45
300.0,120.0,extreme,1242,1523.1026480197906,1,AMD EPYC 9B45
150.0,60.0,equal,1243,494.3980965614319,1,AMD EPYC 9B45
150.0,60.0,extreme,1243,356.957994222641,1,AMD EPYC 9B45
150.0,120.0,equal,1243,622.3004877567291,1,AMD EPYC 9B45
150.0,120.0,extreme,1243,378.3176729679108,1,AMD EPYC 9B45
300.0,60.0,equal,1243,751.6885251998901,1,AMD EPYC 9B45
300.0,60.0,extreme,1243,1297.9335064888,1,AMD EPYC 9B45
300.0,120.0,equal,1243,1308.0522754192352,1,AMD EPYC 9B45
300.0,120.0,extreme,1243,1435.1292054653168,1,AMD EPYC 9B45
150.0,60.0,equal,1244,524.8128206729889,1,AMD EPYC 9B45
150.0,60.0,extreme,1244,434.77475357055664,1,AMD EPYC 9B45
150.0,120.0,equal,1244,519.0298414230347,1,AMD EPYC 9B45
150.0,120.0,extreme,1244,624.5826275348663,1,AMD EPYC 9B45
300.0,60.0,equal,1244,1234.9594974517822,1,AMD EPYC 9B45
300.0,60.0,extreme,1244,946.630808353424,1,AMD EPYC 9B45
300.0,120.0,equal,1244,1260.8711273670197,1,AMD EPYC 9B45
300.0,120.0,extreme,1244,1380.9876079559326,1,AMD EPYC 9B45
150.0,60.0,equal,1245,577.8192956447601,1,AMD EPYC 9B45
150.0,60.0,extreme,1245,581.5534856319427,1,AMD EPYC 9B45
150.0,120.0,equal,1245,453.2403948307037,1,AMD EPYC 9B45
150.0,120.0,extreme,1245,672.1717402935028,1,AMD EPYC 9B45
300.0,60.0,equal,1245,1158.3244407176971,1,AMD EPYC 9B45
300.0,60.0,extreme,1245,833.984857082367,1,AMD EPYC 9B45
300.0,120.0,equal,1245,1076.2720637321472,1,AMD EPYC 9B45
300.0,120.0,extreme,1245,904.1688504219056,1,AMD EPYC 9B45
150.0,60.0,equal,1246,389.4143736362457,1,AMD EPYC 9B45
150.0,60.0,extreme,1246,481.6429698467255,1,AMD EPYC 9B45
150.0,120.0,equal,1246,697.6434192657471,1,AMD EPYC 9B45
150.0,120.0,extreme,1246,593.6783039569855,1,AMD EPYC 9B45
300.0,60.0,equal,1246,1082.9059100151062,1,AMD EPYC 9B45
300.0,60.0,extreme,1246,891.9977104663849,1,AMD EPYC 9B45
300.0,120.0,equal,1246,1197.721960067749,1,AMD EPYC 9B45
300.0,120.0,extreme,1246,909.1966383457184,1,AMD EPYC 9B45
150.0,60.0,equal,1247,676.8080270290375,1,AMD EPYC 9B45
150.0,60.0,extreme,1247,606.9125235080719,1,AMD EPYC 9B45
150.0,120.0,equal,1247,494.65700674057007,1,AMD EPYC 9B45
150.0,120.0,extreme,1247,694.8411545753479,1,AMD EPYC 9B45
300.0,60.0,equal,1247,946.2672243118286,1,AMD EPYC 9B45
300.0,60.0,extreme,1247,1577.1809918880465,1,AMD EPYC 9B45
300.0,120.0,equal,1247,718.6422250270844,1,AMD EPYC 9B45
300.0,120.0,extreme,1247,1479.3534564971924,1,AMD EPYC 9B45
150.0,60.0,equal,1248,550.7489666938782,1,AMD EPYC 9B45
150.0,60.0,extreme,1248,294.4037067890167,1,AMD EPYC 9B45
150.0,120.0,equal,1248,622.7829551696777,1,AMD EPYC 9B45
150.0,120.0,extreme,1248,718.3315801620483,1,AMD EPYC 9B45
300.0,60.0,equal,1248,708.1269495487213,1,AMD EPYC 9B45
300.0,60.0,extreme,1248,1166.6199734210968,1,AMD EPYC 9B45
300.0,120.0,equal,1248,1236.638025522232,1,AMD EPYC 9B45
300.0,120.0,extreme,1248,1400.8721780776978,1,AMD EPYC 9B45
150.0,60.0,equal,1249,608.6542840003967,1,AMD EPYC 9B45
150.0,60.0,extreme,1249,466.7972683906555,1,AMD EPYC 9B45
150.0,120.0,equal,1249,617.8636016845703,1,AMD EPYC 9B45
150.0,120.0,extreme,1249,687.3387842178345,1,AMD EPYC 9B45
300.0,60.0,equal,1249,878.4186401367188,1,AMD EPYC 9B45
300.0,60.0,extreme,1249,638.4886636734009,1,AMD EPYC 9B45
300.0,120.0,equal,1249,1029.2898035049438,1,AMD EPYC 9B45
300.0,120.0,extreme,1249,1421.0177264213562,1,AMD EPYC 9B45
150.0,60.0,equal,1250,451.79210209846497,1,AMD EPYC 9B45
150.0,60.0,extreme,1250,467.1328234672546,1,AMD EPYC 9B45
150.0,120.0,equal,1250,610.3911738395691,1,AMD EPYC 9B45
150.0,120.0,extreme,1250,300.59441018104553,1,AMD EPYC 9B45
300.0,60.0,equal,1250,706.4534895420074,1,AMD EPYC 9B45
300.0,60.0,extreme,1250,773.5917479991913,1,AMD EPYC 9B45
300.0,120.0,equal,1250,1497.558266401291,1,AMD EPYC 9B45
300.0,120.0,extreme,1250,803.1456561088562,1,AMD EPYC 9B45
150.0,60.0,equal,1251,419.3129005432129,1,AMD EPYC 9B45
150.0,60.0,extreme,1251,620.8504745960236,1,AMD EPYC 9B45
150.0,120.0,equal,1251,623.9524395465851,1,AMD EPYC 9B45
150.0,120.0,extreme,1251,734.5900526046753,1,AMD EPYC 9B45
300.0,60.0,equal,1251,1097.356323480606,1,AMD EPYC 9B45
300.0,60.0,extreme,1251,1028.9307050704956,1,AMD EPYC 9B45
300.0,120.0,equal,1251,1259.1544888019562,1,AMD EPYC 9B45
300.0,120.0,extreme,1251,969.6753237247468,1,AMD EPYC 9B45
150.0,60.0,equal,1252,403.703907251358,1,AMD EPYC 9B45
150.0,60.0,extreme,1252,461.6720907688141,1,AMD EPYC 9B45
150.0,120.0,equal,1252,541.9730763435364,1,AMD EPYC 9B45
150.0,120.0,extreme,1252,511.1253273487091,1,AMD EPYC 9B45
300.0,60.0,equal,1252,755.9875102043152,1,AMD EPYC 9B45
300.0,60.0,extreme,1252,1132.0206775665283,1,AMD EPYC 9B45
300.0,120.0,equal,1252,1438.223196029663,1,AMD EPYC 9B45
300.0,120.0,extreme,1252,1337.8837900161743,1,AMD EPYC 9B45
150.0,60.0,equal,1253,359.2139024734497,1,AMD EPYC 9B45
150.0,60.0,extreme,1253,283.2677495479584,1,AMD EPYC 9B45
150.0,120.0,equal,1253,628.9251518249512,1,AMD EPYC 9B45
150.0,120.0,extreme,1253,425.3313090801239,1,AMD EPYC 9B45
300.0,60.0,equal,1253,1057.7617819309237,1,AMD EPYC 9B45
300.0,60.0,extreme,1253,895.5929825305939,1,AMD EPYC 9B45
300.0,120.0,equal,1253,1265.2638187408447,1,AMD EPYC 9B45
300.0,120.0,extreme,1253,1400.2528796195984,1,AMD EPYC 9B45
150.0,60.0,equal,1254,515.5156028270721,1,AMD EPYC 9B45
150.0,60.0,extreme,1254,540.9673795700073,1,AMD EPYC 9B45
150.0,120.0,equal,1254,417.4288647174835,1,AMD EPYC 9B45
150.0,120.0,extreme,1254,703.0913507938385,1,AMD EPYC 9B45
300.0,60.0,equal,1254,890.8535380363464,1,AMD EPYC 9B45
300.0,60.0,extreme,1254,725.4267890453339,1,AMD EPYC 9B45
300.0,120.0,equal,1254,1326.117522239685,1,AMD EPYC 9B45
300.0,120.0,extreme,1254,1453.9807164669037,1,AMD EPYC 9B45
150.0,60.0,equal,1255,604.9934933185577,1,AMD EPYC 9B45
150.0,60.0,extreme,1255,592.8421652317047,1,AMD EPYC 9B45
150.0,120.0,equal,1255,459.26230812072754,1,AMD EPYC 9B45
150.0,120.0,extreme,1255,694.4601676464081,1,AMD EPYC 9B45
300.0,60.0,equal,1255,1070.0413637161255,1,AMD EPYC 9B45
300.0,60.0,extreme,1255,1269.3858785629272,1,AMD EPYC 9B45
300.0,120.0,equal,1255,1213.2132630348206,1,AMD EPYC 9B45
300.0,120.0,extreme,1255,1377.066372871399,1,AMD EPYC 9B45
150.0,60.0,equal,1256,561.8472764492035,1,AMD EPYC 9B45
150.0,60.0,extreme,1256,720.7446384429932,1,AMD EPYC 9B45
150.0,120.0,equal,1256,598.1317687034607,1,AMD EPYC 9B45
150.0,120.0,extreme,1256,674.8083183765411,1,AMD EPYC 9B45
300.0,60.0,equal,1256,819.1526629924774,1,AMD EPYC 9B45
300.0,60.0,extreme,1256,1035.765017747879,1,AMD EPYC 9B45
300.0,120.0,equal,1256,1259.865433692932,1,AMD EPYC 9B45
300.0,120.0,extreme,1256,1405.4261031150818,1,AMD EPYC 9B45
150.0,60.0,equal,1257,294.5438680648804,1,AMD EPYC 9B45
150.0,60.0,extreme,1257,743.3072793483734,1,AMD EPYC 9B45
150.0,120.0,equal,1257,464.6900150775909,1,AMD EPYC 9B45
150.0,120.0,extreme,1257,291.90764904022217,1,AMD EPYC 9B45
300.0,60.0,equal,1257,1332.3831017017365,1,AMD EPYC 9B45
300.0,60.0,extreme,1257,1168.9171798229218,1,AMD EPYC 9B45
300.0,120.0,equal,1257,1240.612680196762,1,AMD EPYC 9B45
300.0,120.0,extreme,1257,1436.6996965408323,1,AMD EPYC 9B45
150.0,60.0,equal,1258,554.4702105522156,1,AMD EPYC 9B45
150.0,60.0,extreme,1258,350.9160530567169,1,AMD EPYC 9B45
150.0,120.0,equal,1258,460.7599959373474,1,AMD EPYC 9B45
150.0,120.0,extreme,1258,508.9346561431885,1,AMD EPYC 9B45
300.0,60.0,equal,1258,1004.1530051231384,1,AMD EPYC 9B45
300.0,60.0,extreme,1258,1124.1705284118652,1,AMD EPYC 9B45
300.0,120.0,equal,1258,1253.1894133090973,1,AMD EPYC 9B45
300.0,120.0,extreme,1258,828.9867887496948,1,AMD EPYC 9B45
150.0,60.0,equal,1259,606.385901927948,1,AMD EPYC 9B45
150.0,60.0,extreme,1259,373.201797246933,1,AMD EPYC 9B45
150.0,120.0,equal,1259,689.8154330253601,1,AMD EPYC 9B45
150.0,120.0,extreme,1259,694.093147277832,1,AMD EPYC 9B45
300.0,60.0,equal,1259,1265.885455369949,1,AMD EPYC 9B45
300.0,60.0,extreme,1259,1112.2462365627289,1,AMD EPYC 9B45
300.0,120.0,equal,1259,1258.7398521900177,1,AMD EPYC 9B45
300.0,120.0,extreme,1259,1466.1821837425232,1,AMD EPYC 9B45
150.0,60.0,equal,1260,395.9035949707031,1,AMD EPYC 9B45
150.0,60.0,extreme,1260,477.29560470581055,1,AMD EPYC 9B45
150.0,120.0,equal,1260,596.6517202854156,1,AMD EPYC 9B45
150.0,120.0,extreme,1260,693.837872505188,1,AMD EPYC 9B45
300.0,60.0,equal,1260,716.4204025268555,1,AMD EPYC 9B45
300.0,60.0,extreme,1260,1174.2207741737366,1,AMD EPYC 9B45
300.0,120.0,equal,1260,561.2089264392853,1,AMD EPYC 9B45
300.0,120.0,extreme,1260,976.9855434894562,1,AMD EPYC 9B45
150.0,60.0,equal,1261,547.6249899864197,1,AMD EPYC 9B45
150.0,60.0,extreme,1261,411.1065256595612,1,AMD EPYC 9B45
150.0,120.0,equal,1261,629.3574755191803,1,AMD EPYC 9B45
150.0,120.0,extreme,1261,679.0060453414917,1,AMD EPYC 9B45
300.0,60.0,equal,1261,1257.6599552631378,1,AMD EPYC 9B45
300.0,60.0,extreme,1261,783.4032742977142,1,AMD EPYC 9B45
300.0,120.0,equal,1261,1260.16020321846,1,AMD EPYC 9B45
300.0,120.0,extreme,1261,1435.5049242973328,1,AMD EPYC 9B45
150.0,60.0,equal,1262,689.0931990146637,1,AMD EPYC 9B45
150.0,60.0,extreme,1262,257.6612157821655,1,AMD EPYC 9B45
150.0,120.0,equal,1262,629.8857161998749,1,AMD EPYC 9B45
150.0,120.0,extreme,1262,693.6239433288574,1,AMD EPYC 9B45
300.0,60.0,equal,1262,950.3822302818298,1,AMD EPYC 9B45
300.0,60.0,extreme,1262,936.3596169948578,1,AMD EPYC 9B45
300.0,120.0,equal,1262,1210.7246360778809,1,AMD EPYC 9B45
300.0,120.0,extreme,1262,1000.2569098472596,1,AMD EPYC 9B45
150.0,60.0,equal,1263,457.9122126102448,1,AMD EPYC 9B45
150.0,60.0,extreme,1263,429.78871870040894,1,AMD EPYC 9B45
150.0,120.0,equal,1263,588.6030316352844,1,AMD EPYC 9B45
